value,label
1450,COLGALT2
1451,TSEN15
1452,C1orf21
1453,EDEM3
1454,NIBAN1
1455,RNF2
1456,TRMT1L
1457,SWT1
1458,IVNS1ABP
1459,HMCN1
1460,PRG4
1461,TPR
1462,ODR4
1463,OCLM
1464,PDC
1465,PTGS2
1466,PLA2G4A
1467,BRINP3
1468,RGS18
1469,RGS21
1470,RGS1
1471,RGS13
1472,RGS2
1473,UCHL5
1474,RO60
1475,GLRX2
1476,CDC73
1477,B3GALT2
1478,KCNT2
1479,CFH
1480,CFHR3
1481,CFHR4
1482,CFHR2
1483,CFHR5
1484,F13B
1485,ASPM
1486,ZBTB41
1487,CRB1
1488,DENND1B
1489,C1orf53
1490,LHX9
1491,NEK7
1492,ATP6V1G3
1493,PTPRC
1494,NR5A2
1495,ZNF281
1496,KIF14
1497,DDX59
1498,CAMSAP2
1499,GPR25
1500,INAVA
1501,KIF21B
1502,CACNA1S
1503,ASCL5
1504,TMEM9
1505,IGFN1
1506,PKP1
1507,TNNT2
1508,LAD1
1509,TNNI1
1510,PHLDA3
1511,NAV1
1512,IPO9
1513,SHISA4
1514,LMOD1
1515,TIMM17A
1516,RNPEP
1517,ELF3
1518,GPR37L1
1519,ARL8A
1520,PTPN7
1521,LGR6
1522,UBE2T
1523,PPP1R12B
1524,SYT2
1525,KDM5B
1526,RABIF
1527,KLHL12
1528,ADIPOR1
1529,CYB5R1
1530,TMEM183A
1531,MYOG
1532,ADORA1
1533,MYBPH
1534,CHI3L1
1535,CHIT1
1536,BTG2
1537,FMOD
1538,PRELP
1539,OPTC
1540,ATP2B4
1541,LAX1
1542,SNRPE
1543,SOX13
1544,ETNK2
1545,REN
1546,KISS1
1547,GOLT1A
1548,PLEKHA6
1549,PPP1R15B
1550,PIK3C2B
1551,MDM4
1552,LRRN2
1553,NFASC
1554,CNTN2
1555,TMEM81
1556,RBBP5
1557,DSTYK
1558,TMCC2
1559,NUAK2
1560,KLHDC8A
1561,LEMD1
1562,BLACAT1
1563,CDK18
1564,MFSD4A
1565,ELK4
1566,SLC45A3
1567,NUCKS1
1568,RAB29
1569,SLC41A1
1570,PM20D1
1571,SLC26A9
1572,RAB7B
1573,CTSE
1574,RHEX
1575,AVPR1B
1576,SRGAP2
1577,IKBKE
1578,RASSF5
1579,EIF2D
1580,DYRK3
1581,MAPKAPK2
1582,IL10
1583,IL19
1584,IL20
1585,IL24
1586,FCMR
1587,PIGR
1588,FCAMR
1589,C1orf116
1590,PFKFB2
1591,YOD1
1592,C4BPB
1593,C4BPA
1594,CD55
1595,CR2
1596,CR1
1597,CR1L
1598,CD46
1599,CD34
1600,PLXNA2
1601,CAMK1G
1602,LAMB3
1603,G0S2
1604,HSD11B1
1605,TRAF3IP3
1606,C1orf74
1607,IRF6
1608,UTP25
1609,SYT14
1610,SERTAD4
1611,HHAT
1612,KCNH1
1613,RCOR3
1614,TRAF5
1615,RD3
1616,SLC30A1
1617,LPGAT1
1618,INTS7
1619,DTL
1620,PPP2R5A
1621,PACC1
1622,NENF
1623,ATF3
1624,FAM71A
1625,BATF3
1626,NSL1
1627,TATDN3
1628,SPATA45
1629,FLVCR1
1630,VASH2
1631,ANGEL2
1632,PROX1
1633,SMYD2
1634,PTPN14
1635,CENPF
1636,KCNK2
1637,KCTD3
1638,USH2A
1639,ESRRG
1640,GPATCH2
1641,SPATA17
1642,RRP15
1643,TGFB2
1644,LYPLAL1
1645,SLC30A10
1646,EPRS
1647,BPNT1
1648,IARS2
1649,RAB3GAP2
1650,MARK1
1651,C1orf115
1652,2-Mar
1653,1-Mar
1654,HLX
1655,DUSP10
1656,HHIPL2
1657,TAF1A
1658,MIA3
1659,AIDA
1660,BROX
1661,FAM177B
1662,DISP1
1663,TLR5
1664,SUSD4
1665,CCDC185
1666,CAPN8
1667,CAPN2
1668,TP53BP2
1669,FBXO28
1670,DEGS1
1671,NVL
1672,CNIH4
1673,WDR26
1674,CNIH3
1675,DNAH14
